Dates,"Capcom Co., Ltd. (TSE:9697) - Volume","Capcom Co., Ltd. (TSE:9697) - Share Pricing",Annotation,Announced/Completed Transactions,Company Forecasts and Ratings,Bankruptcy Updates,Corporate Structure Related,Dividends/Splits,Listing/Trading Related,Potential Transactions,Transaction Updates,Potential Red Flags/Distress Indicators,Investor Activism,Insider Trades,Results Announcements/Corporate Communications,Annotation
Sep-19-2025,3.14mm,4083.00,,,,,,,,,,,,,,
Sep-22-2025,1.68mm,4059.00,,,,,,,,,,,,,,
Sep-24-2025,2.22mm,3999.00,,,,,,,,,,,,,,
Sep-25-2025,2.14mm,3977.00,,,,,,,,,,,,,,
Sep-26-2025,2.35mm,4006.00,,,,,,,,,,,,,,
Sep-29-2025,2.28mm,3919.00,,,,,,3919,,,,,,,,
Sep-30-2025,2.33mm,4023.00,,,,,,,,,,,,,,
Oct-01-2025,2.80mm,4120.00,,,,,,,,,,,,,,
Oct-02-2025,2.15mm,4095.00,,,,,,,,,,,,,,
Oct-03-2025,3.09mm,4266.00,,,,,,,,,,,,,,
Oct-06-2025,2.81mm,4311.00,,,,,,,,,,,,,,
Oct-07-2025,1.31mm,4311.00,,,,,,,,,,,,,,
Oct-08-2025,1.71mm,4355.00,,,,,,,,,,,,,,
Oct-09-2025,1.45mm,4283.00,,,,,,,,,,,,,,
Oct-10-2025,1.73mm,4275.00,,,,,,,,,,,,,,
Oct-14-2025,2.22mm,4123.00,,,,,,,,,,,,,,
Oct-15-2025,1.24mm,4173.00,,,,,,,,,,,,,,
Oct-16-2025,1.22mm,4140.00,,,,,,,,,,,,,,
Oct-17-2025,1.20mm,4125.00,,,,,,,,,,,,,,
Oct-20-2025,1.13mm,4173.00,,,,,,,,,,,,,,
Oct-21-2025,1.47mm,4319.00,,,,,,,,,,,,,,
Oct-22-2025,1.67mm,4268.00,,,,,,,,,,,,,,
Oct-23-2025,1.14mm,4275.00,,,,,,,,,,,,,,
Oct-24-2025,1.14mm,4282.00,,,,,,,,,,,,,,
Oct-27-2025,1.01mm,4341.00,,,,,,,,,,,,,4341,
Oct-28-2025,1.63mm,4331.00,,,,,,,,,,,,,,
Oct-29-2025,2.05mm,4325.00,,,,,,4325,,,,,,,4325,
Oct-30-2025,7.38mm,4000.00,,,,,,,,,,,,,,
Oct-31-2025,3.56mm,4034.00,,,,,,,,,,,,,,
Nov-04-2025,2.52mm,3976.00,,,,,,,,,,,,,,
Nov-05-2025,2.55mm,3961.00,,,,,,,,,,,,,,
Nov-06-2025,2.91mm,3957.00,,,,,,,,,,,,,,
Nov-07-2025,1.98mm,4071.00,,,,,,,,,,,,,,
Nov-10-2025,2.24mm,4043.00,,,,,,,,,,,,,,
Nov-11-2025,2.24mm,3938.00,,,,,,,,,,,,,,
Nov-12-2025,2.29mm,3902.00,,,,,,,,,,,,,,
Nov-13-2025,1.94mm,3860.00,,,,,,,,,,,,,,
Nov-14-2025,1.69mm,3858.00,,,,,,,,,,,,,,
Nov-17-2025,1.35mm,3856.00,,,,,,,,,,,,,,
Nov-18-2025,1.80mm,3812.00,,,,,,,,,,,,,,
Nov-19-2025,2.67mm,3773.00,,,,,,,,,,,,,,
Nov-20-2025,1.75mm,3807.00,,,,,,,,,,,,,,
Nov-21-2025,3.22mm,3934.00,,,,,,,,,,,,,,
Nov-25-2025,2.50mm,3777.00,,,,,,,,,,,,,,
Nov-26-2025,1.84mm,3793.00,,,,,,,,,,,,,,
Nov-27-2025,.95mm,3815.00,,,,,,,,,,,,,,
Nov-28-2025,1.00mm,3823.00,,,,,,,,,,,,,,
Dec-01-2025,1.47mm,3732.00,,,,,,,,,,,,,,
Dec-02-2025,1.39mm,3701.00,,,,,,,,,,,,,,
Dec-03-2025,2.14mm,3615.00,,,,,,,,,,,,,,
Dec-04-2025,1.09mm,3685.00,,,,,,,,,,,,,,
Dec-05-2025,1.68mm,3673.00,,,,,,,,,,,,,,
Dec-08-2025,1.49mm,3728.00,,,,,,,,,,,,,,
Dec-09-2025,1.39mm,3685.00,,,,,,,,,,,,,,
Dec-10-2025,2.08mm,3737.00,,,,,,,,,,,,,,
Dec-11-2025,2.63mm,3775.00,,,,,,,,,,,,,,
Dec-12-2025,2.99mm,3615.00,,,,,,,,,,,,,,
Dec-15-2025,2.24mm,3601.00,,,,,,,,,,,,,,
Dec-16-2025,1.65mm,3520.00,,,,,,,,,,,,,,
Dec-17-2025,1.56mm,3505.00,,,,,,,,,,,,,,
Dec-18-2025,1.45mm,3519.00,,,,,,,,,,,,,,
Dec-19-2025,1.88mm,3483.00,,,,,,,,,,,,,,
Dec-22-2025,1.60mm,3463.00,,,,,,,,,,,,,,
Dec-23-2025,2.49mm,3613.00,,,,,,,,,,,,,,
Dec-24-2025,1.31mm,3600.00,,,,,,,,,,,,,,
Dec-25-2025,1.04mm,3647.00,,,,,,,,,,,,,,
Dec-26-2025,1.42mm,3674.00,,,,,,,,,,,,,,
Dec-29-2025,1.43mm,3700.00,,,,,,,,,,,,,,
Dec-30-2025,1.61mm,3651.00,,,,,,,,,,,,,,
Jan-05-2026,2.06mm,3667.00,,,,,,,,,,,,,,
Jan-06-2026,1.67mm,3734.00,,,,,,,,,,,,,,
Jan-07-2026,2.84mm,3597.00,,,,,,,,,,,,,,
Jan-08-2026,2.19mm,3602.00,,,,,,,,,,,,,,
Jan-09-2026,4.51mm,3650.00,,,,,,,,,,,,,,
Jan-13-2026,2.13mm,3625.00,,,,,,,,,,,,,,
Jan-14-2026,1.74mm,3694.00,,,,,,,,,,,,,,
Jan-15-2026,2.17mm,3772.00,,,,,,,,,,,,,,
Jan-16-2026,2.31mm,3670.00,,,,,,,,,,,,,,
Jan-19-2026,1.78mm,3625.00,,,,,,,,,,,,,,
Jan-20-2026,1.98mm,3617.00,,,,,,,,,,,,,,
Jan-21-2026,1.96mm,3550.00,,,,,,,,,,,,,,
Jan-22-2026,1.74mm,3462.00,,,,,,,,,,,,,,
Jan-23-2026,2.51mm,3542.00,,,,,,,,,,,,,,
Jan-26-2026,2.74mm,3644.00,,,,,,,,,,,,,,
Jan-27-2026,2.86mm,3555.00,,,,,,,,,,,,,3555,
Jan-28-2026,7.04mm,3904.00,,,,,,,,,,,,,,
Jan-29-2026,3.35mm,3758.00,,,,,,,,,,,,,3758,
Jan-30-2026,3.89mm,3936.00,,,,,,,,,,,,,,
Feb-02-2026,4.69mm,3645.00,,,,,,,,,,,,,,
Feb-03-2026,4.02mm,3539.00,,,,,,,,,,,,,,
Feb-04-2026,6.85mm,3190.00,,,,,,,,,,,,,,
Feb-05-2026,4.93mm,3118.00,,,,,,,,,,,,,,
Feb-06-2026,5.38mm,3044.00,,,,,,,,,,,,,,
Feb-09-2026,3.78mm,3105.00,,,,,,,,,,,,,,
Feb-10-2026,4.04mm,3284.00,,,,,,,,,,,,,,
Feb-12-2026,4.25mm,3272.00,,,,,,,,,,,,,,
Feb-13-2026,4.38mm,3057.00,,,,,,,,,,,,,,
Feb-16-2026,2.21mm,3140.00,,,,,,,,,,,,,,
Feb-17-2026,1.92mm,3120.00,,,,,,,,,,,,,,
Feb-18-2026,2.62mm,3167.00,,,,,,,,,,,,,,
Feb-19-2026,2.06mm,3147.00,,,,,,,,,,,,,,
Feb-20-2026,2.78mm,3148.00,,,,,,,,,,,,,,
Feb-24-2026,3.83mm,3115.00,,,,,,,,,,,,,,
Feb-25-2026,3.37mm,3252.00,,,,,,,,,,,,,,
Feb-26-2026,3.87mm,3365.00,,,,,,,,,,,,,,
Feb-27-2026,5.71mm,3593.00,,,,,,,,,,,,,,
Mar-02-2026,5.49mm,3636.00,,,,,,,,,,,,,,
Mar-03-2026,3.81mm,3584.00,,,,,,,,,,,,,,
Mar-04-2026,4.73mm,3562.00,,,,,,,,,,,,,,
Mar-05-2026,7.31mm,3302.00,,,,,3302,,,,,,,,,
Mar-06-2026,3.36mm,3383.00,,,,,,,,,,,,,,
Mar-09-2026,3.21mm,3378.00,,,,,,,,,,,,,,
Mar-10-2026,2.38mm,3442.00,,,,,,,,,,,,,,
Mar-11-2026,2.66mm,3406.00,,,,,,,,,,,,,,
Mar-12-2026,2.67mm,3457.00,,,,,,,,,,,,,,
Mar-13-2026,3.14mm,3545.00,,,,,,,,,,,,,,
Mar-16-2026,2.40mm,3562.00,,,,,,,,,,,,,,
Mar-17-2026,2.67mm,3578.00,,,,,,,,,,,,,,
Mar-18-2026,2.62mm,3584.00,,,,,,,,,,,,,,
Mar-19-2026,2.52mm,3537.00,,,,,,,,,,,,,,
Mar-23-2026,2.36mm,3464.00,,,,,,,,,,,,,,
Mar-24-2026,2.76mm,3464.00,,,,,,,,,,,,,,
Mar-25-2026,2.94mm,3364.00,,,,,,,,,,,,,,
Mar-26-2026,2.84mm,3305.00,,,,,,,,,,,,,,
Mar-27-2026,2.76mm,3407.00,,,,,,,,,,,,,,
Mar-30-2026,3.41mm,3312.00,,,,,,3312,,,,,,,,
Mar-31-2026,2.52mm,3348.00,,,,,,,,,,,,,,
Apr-01-2026,1.93mm,3477.00,,,,,,,,,,,,,,
Apr-02-2026,2.46mm,3393.00,,,,,,,,,,,,,,
Apr-03-2026,.92mm,3371.00,,,,,,,,,,,,,,
Apr-06-2026,1.14mm,3340.00,,,,,,,,,,,,,,
Apr-07-2026,1.96mm,3450.00,,,,,,,,,,,,,,
Apr-08-2026,2.74mm,3418.00,,,,,,,,,,,,,,
Apr-09-2026,2.19mm,3328.00,,,,,,,,,,,,,,
Apr-10-2026,1.82mm,3319.00,,,,,,,,,,,,,,
Apr-13-2026,1.75mm,3406.00,,,,,,,,,,,,,,
Apr-14-2026,2.76mm,3560.00,,,,,,,,,,,,,,
Apr-15-2026,2.83mm,3634.00,,,,,,,,,,,,,,
Apr-16-2026,3.21mm,3701.00,,,,,,,,,,,,,,
Apr-17-2026,2.37mm,3669.00,,,,,,,,,,,,,,
