Dates,"Nintendo Co., Ltd. (TSE:7974) - Share Pricing",Annotation,Bankruptcy Updates,Announced/Completed Transactions,Company Forecasts and Ratings,Corporate Structure Related,Potential Red Flags/Distress Indicators,Potential Transactions,Listing/Trading Related,Investor Activism,Dividends/Splits,Transaction Updates,Insider Trades,Results Announcements/Corporate Communications,Annotation,"Nintendo Co., Ltd. (TSE:7974) - Volume"
Dec-30-2024,9264.00,,,,,,,,,,,,,,,2.49mm
Jan-06-2025,9070.00,,,,,,,,,,,,,,,4.96mm
Jan-07-2025,9158.00,,,,,,,,,,,,,,,3.53mm
Jan-08-2025,8903.00,,,,,,,,,,,,,,,4.68mm
Jan-09-2025,9119.00,,,,,,,,,,,,,,,4.55mm
Jan-10-2025,9248.00,,,,,,,,,,,,,,,4.44mm
Jan-14-2025,9332.00,,,,,,,,,,,,,,,6.94mm
Jan-15-2025,9565.00,,,,,,,,,,,,,,,7.21mm
Jan-16-2025,9590.00,,,,,,,,,,,,,,,7.25mm
Jan-17-2025,9181.00,,,,,,,,,,,,,,,18.67mm
Jan-20-2025,8901.00,,,,,,,,,,,,,,,11.50mm
Jan-21-2025,9044.00,,,,,,,,,,,,,,,6.36mm
Jan-22-2025,9404.00,,,,,,,,,,,,,,,6.96mm
Jan-23-2025,9559.00,,,,,,,,,,,,,,,8.46mm
Jan-24-2025,9890.00,,,,,,,,,,,,,,,9.20mm
Jan-27-2025,9793.00,,,,,,,,,,,,,,,5.75mm
Jan-28-2025,10250.00,,,,,,,,,,,,,,,9.43mm
Jan-29-2025,10190.00,,,,,,,,,,,,,,,4.04mm
Jan-30-2025,10425.00,,,,,,,,,,,,,,,4.38mm
Jan-31-2025,10230.00,,,,,,,,,,,,,,,4.35mm
Feb-03-2025,10175.00,,,,,,,,,,,,,,,3.77mm
Feb-04-2025,10400.00,,,,,,,,,,,,,10400,,4.33mm
Feb-05-2025,10700.00,,,,,,,,,,,,,,,7.62mm
Feb-06-2025,11000.00,,,,,,,,,,,,,,,5.87mm
Feb-07-2025,10805.00,,,,,,,,,,,,,,,4.22mm
Feb-10-2025,10935.00,,,,,,,,,,,,,10935,,3.95mm
Feb-12-2025,10980.00,,,,,,,,,,,,,,,6.36mm
Feb-13-2025,11250.00,,,,,,,,,,,,,,,5.22mm
Feb-14-2025,11245.00,,,,,,,,,,,,,,,5.32mm
Feb-17-2025,11395.00,,,,,,,,,,,,,,,5.05mm
Feb-18-2025,11450.00,,,,,,,,,,,,,,,3.62mm
Feb-19-2025,11760.00,,,,,,,,,,,,,,,6.80mm
Feb-20-2025,11490.00,,,,,,,,,,,,,,,5.19mm
Feb-21-2025,11455.00,,,,,,,,,,,,,,,5.37mm
Feb-25-2025,11310.00,,,,,,,,,,,,,,,4.53mm
Feb-26-2025,11105.00,,,,,,,,,,,,,,,5.73mm
Feb-27-2025,11400.00,,,,,,,,,,,,,,,3.96mm
Feb-28-2025,11160.00,,,,,,,,,,,,,,,10.57mm
Mar-03-2025,11065.00,,,,,,,,,,,,,11065,,4.70mm
Mar-04-2025,11130.00,,,,,,,,,,,,,,,3.94mm
Mar-05-2025,11175.00,,,,,,,,,,,,,,,3.64mm
Mar-06-2025,11385.00,,,,,,,,,,,,,,,3.80mm
Mar-07-2025,10335.00,,,,,,,,,,,,,,,8.65mm
Mar-10-2025,10005.00,,,,,,,,,,,,,,,6.78mm
Mar-11-2025,10055.00,,,,,,,,,,,,,,,7.55mm
Mar-12-2025,10160.00,,,,,,,,,,,,,,,3.70mm
Mar-13-2025,10180.00,,,,,,,,,,,,,,,4.44mm
Mar-14-2025,10265.00,,,,,,,,,,,,,,,3.66mm
Mar-17-2025,10285.00,,,,,,,,,,,,,,,2.72mm
Mar-18-2025,10270.00,,,,,,,,,,,,,,,3.24mm
Mar-19-2025,10550.00,,,,,,,,,,,,,,,4.16mm
Mar-21-2025,10895.00,,,,,,,,,,,,,,,6.41mm
Mar-24-2025,10690.00,,,,,,,,,,,,,,,3.05mm
Mar-25-2025,10765.00,,,,,,,,,,,,,,,2.84mm
Mar-26-2025,11330.00,,,,,,,,,,,,,,,6.67mm
Mar-27-2025,11030.00,,,,,,,,,,,,,,,6.59mm
Mar-28-2025,10835.00,,,,,,,,,,10835,,,,,4.28mm
Mar-31-2025,10110.00,,,,,,,,,,,,,,,6.80mm
Apr-01-2025,10205.00,,,,,,,,,,,,,,,5.21mm
Apr-02-2025,10420.00,,,,,,,,,,,,,,,5.72mm
Apr-03-2025,10080.00,,,,,,,,,,,,,,,12.95mm
Apr-04-2025,9977.00,,,,,,,,,,,,,,,10.53mm
Apr-07-2025,9194.00,,,,,,,,,,,,,,,13.80mm
Apr-08-2025,9841.00,,,,,,,,,,,,,,,11.43mm
Apr-09-2025,9405.00,,,,,,,,,,,,,,,11.16mm
Apr-10-2025,10505.00,,,,,,,,,,,,,,,8.56mm
Apr-11-2025,10040.00,,,,,,,,,,,,,,,8.43mm
Apr-14-2025,10350.00,,,,,,,,,,,,,,,4.27mm
Apr-15-2025,10305.00,,,,,,,,,,,,,,,2.89mm
Apr-16-2025,10040.00,,,,,,,,,,,,,,,4.09mm
Apr-17-2025,10345.00,,,,,,,,,,,,,,,3.58mm
Apr-18-2025,10370.00,,,,,,,,,,,,,,,2.67mm
Apr-21-2025,10245.00,,,,,,,,,,,,,,,3.15mm
Apr-22-2025,10175.00,,,,,,,,,,,,,,,3.56mm
Apr-23-2025,10415.00,,,,,,,,,,,,,,,4.16mm
Apr-24-2025,11000.00,,,,,,,,,,,,,,,8.52mm
Apr-25-2025,11400.00,,,,,,,,,,,,,,,6.86mm
Apr-28-2025,11435.00,,,,,,,,,,,,,,,4.52mm
Apr-30-2025,11830.00,,,,,,,,,,,,,,,7.51mm
May-01-2025,12145.00,,,,,,,,,,,,,,,7.36mm
May-02-2025,12360.00,,,,,,,,,,,,,,,8.35mm
May-07-2025,12350.00,,,,,,,,,,,,,,,8.42mm
May-08-2025,12020.00,,,,12020,12020,,,,,12020,,,12020,,6.59mm
May-09-2025,11820.00,,,,,,,,,,,,,,,12.56mm
May-12-2025,11580.00,,,,,,,,,,,,,,,4.91mm
May-13-2025,12005.00,,,,,,,,,,,,,,,6.15mm
May-14-2025,11700.00,,,,,,,,,,,,,,,4.28mm
May-15-2025,11445.00,,,,,,,,,,,,,11445,,5.20mm
May-16-2025,11640.00,,,,,,,,,,,,,,,4.19mm
May-19-2025,11620.00,,,,,,,,,,,,,,,3.08mm
May-20-2025,11530.00,,,,,,,,,,,,,,,3.85mm
May-21-2025,11265.00,,,,,,,,,,,,,,,3.97mm
May-22-2025,11200.00,,,,,,,,,,,,,,,3.96mm
May-23-2025,11800.00,,,,,,,,,,,,,,,5.78mm
May-26-2025,11965.00,,,,,,,,,,,,,,,4.80mm
May-27-2025,12205.00,,,,,,,,,,,,,,,4.11mm
May-28-2025,12150.00,,,,,,,,,,,,,,,6.28mm
May-29-2025,12330.00,,,,,,,,,,,,,,,4.97mm
May-30-2025,11835.00,,,,,,,,,,,,,,,11.45mm
Jun-02-2025,11745.00,,,,,,,,,,,,,,,5.19mm
Jun-03-2025,11695.00,,,,,,,,,,,,,,,4.59mm
Jun-04-2025,12090.00,,,,,,,,,,,,,,,6.50mm
Jun-05-2025,11850.00,,,,,,,,,,,,,,,5.15mm
Jun-06-2025,11905.00,,,,,,,,,,,,,,,5.13mm
Jun-09-2025,12080.00,,,,,,,,,,,,,,,4.12mm
Jun-10-2025,12105.00,,,,,,,,,,,,,,,5.22mm
Jun-11-2025,11665.00,,,,,,,,,,,,,,,8.47mm
Jun-12-2025,11795.00,,,,,,,,,,,,,,,4.95mm
Jun-13-2025,11815.00,,,,,,,,,,,,,,,5.23mm
Jun-16-2025,11945.00,,,,,,,,,,,,,,,4.14mm
Jun-17-2025,12440.00,,,,,,,,,,,,,,,6.43mm
Jun-18-2025,13260.00,,,,,,,,,,,,,,,11.61mm
Jun-19-2025,13275.00,,,,,,,,,,,,,,,7.71mm
Jun-20-2025,12730.00,,,,,,,,,,,,,,,8.25mm
Jun-23-2025,12670.00,,,,,,,,,,,,,,,5.15mm
Jun-24-2025,12885.00,,,,,,,,,,,,,,,3.95mm
Jun-25-2025,13355.00,,,,,,,,,,,,,,,8.45mm
Jun-26-2025,13420.00,,,,,,,,,,,,,,,6.44mm
Jun-27-2025,13630.00,,,,,13630,,,,,,,,13630,,6.65mm
Jun-30-2025,13880.00,,,,,,,,,,,,,,,6.68mm
Jul-01-2025,13430.00,,,,,,,,,,,,,,,4.23mm
Jul-02-2025,13000.00,,,,,,,,,,,,,,,5.28mm
Jul-03-2025,13110.00,,,,,,,,,,,,,,,5.05mm
Jul-04-2025,13200.00,,,,,,,,,,,,,,,2.68mm
Jul-07-2025,13200.00,,,,,,,,,,,,,,,2.00mm
Jul-08-2025,13045.00,,,,,,,,,,,,,,,4.61mm
Jul-09-2025,12985.00,,,,,,,,,,,,,,,4.20mm
Jul-10-2025,12680.00,,,,,,,,,,,,,,,5.17mm
Jul-11-2025,12685.00,,,,,,,,,,,,,,,3.09mm
Jul-14-2025,12490.00,,,,,,,,,,,,,,,3.49mm
Jul-15-2025,12525.00,,,,,,,,,,,,,,,2.36mm
Jul-16-2025,12695.00,,,,,,,,,,,,,,,3.32mm
Jul-17-2025,12985.00,,,,,,,,,,,,,,,3.89mm
Jul-18-2025,12970.00,,,,,,,,,,,,,,,3.29mm
Jul-22-2025,12850.00,,,,,,,,,,,,,,,4.17mm
Jul-23-2025,12940.00,,,,,,,,,,,,,,,4.54mm
Jul-24-2025,13200.00,,,,,,,,,,,,,,,4.03mm
Jul-25-2025,12880.00,,,,,,,,,,,,,,,3.98mm
Jul-28-2025,12845.00,,,,,,,,,,,,,,,3.06mm
Jul-29-2025,12815.00,,,,,,,,,,,,,,,2.56mm
Jul-30-2025,12715.00,,,,,,,,,,,,,,,3.06mm
Jul-31-2025,12690.00,,,,,,,,,,,,,,,4.31mm
Aug-01-2025,12595.00,,,,,,,,,,,,,12595,,4.81mm
Aug-04-2025,13240.00,,,,,,,,,,,,,,,11.19mm
Aug-05-2025,13415.00,,,,,,,,,,,,,13415,,6.15mm
Aug-06-2025,13480.00,,,,,,,,,,,,,,,4.05mm
Aug-07-2025,13755.00,,,,,,,,,,,,,,,5.15mm
Aug-08-2025,14355.00,,,,,,,,,,,,,,,9.14mm
Aug-12-2025,14185.00,,,,,,,,,,,,,,,6.32mm
Aug-13-2025,14275.00,,,,,,,,,,,,,,,5.28mm
Aug-14-2025,14180.00,,,,,,,,,,,,,,,6.00mm
Aug-15-2025,14400.00,,,,,,,,,,,,,,,3.76mm
Aug-18-2025,14655.00,,,,,,,,,,,,,,,4.39mm
Aug-19-2025,14275.00,,,,,,,,,,,,,,,4.67mm
Aug-20-2025,13820.00,,,,,,,,,,,,,,,4.47mm
Aug-21-2025,13685.00,,,,,,,,,,,,,,,3.09mm
Aug-22-2025,13760.00,,,,,,,,,,,,,,,2.89mm
Aug-25-2025,13750.00,,,,,,,,,,,,,,,3.44mm
Aug-26-2025,13525.00,,,,,,,,,,,,,,,3.35mm
Aug-27-2025,13375.00,,,,,,,,,,,,,,,4.07mm
Aug-28-2025,13430.00,,,,,,,,,,,,,,,5.40mm
Aug-29-2025,13310.00,,,,,,,,,,,,,,,3.50mm
Sep-01-2025,13150.00,,,,,,,,,,,,,,,3.11mm
Sep-02-2025,13110.00,,,,,,,,,,,,,,,2.28mm
Sep-03-2025,13105.00,,,,,,,,,,,,,,,3.60mm
Sep-04-2025,13300.00,,,,,,,,,,,,,,,3.68mm
Sep-05-2025,13270.00,,,,,,,,,,,,,,,2.84mm
Sep-08-2025,13790.00,,,,,,,,,,,,,,,5.23mm
Sep-09-2025,13740.00,,,,,,,,,,,,,,,4.04mm
Sep-10-2025,13790.00,,,,,,,,,,,,,,,3.41mm
Sep-11-2025,14150.00,,,,,,,,,,,,,,,5.80mm
Sep-12-2025,14240.00,,,,,,,,,,,,,,,4.94mm
Sep-16-2025,13775.00,,,,,,,,,,,,,,,5.86mm
Sep-17-2025,13535.00,,,,,,,,,,,,,,,4.33mm
Sep-18-2025,13115.00,,,,,,,,,,,,,,,6.13mm
Sep-19-2025,12800.00,,,,,,,,,,,,,,,11.17mm
Sep-22-2025,12695.00,,,,,,,,,,,,,,,5.84mm
Sep-24-2025,13100.00,,,,,,,,,,,,,,,5.54mm
Sep-25-2025,12835.00,,,,,,,,,,,,,,,4.13mm
Sep-26-2025,13000.00,,,,,,,,,,,,,,,4.75mm
Sep-29-2025,12800.00,,,,,,,,,,12800,,,,,4.05mm
Sep-30-2025,12805.00,,,,,,,,,,,,,,,4.42mm
Oct-01-2025,13000.00,,,,,,,,,,,,,,,5.49mm
Oct-02-2025,12785.00,,,,,,,,,,,,,,,5.27mm
Oct-03-2025,12660.00,,,,,,,,,,,,,,,3.35mm
Oct-06-2025,12865.00,,,,,,,,,,,,,,,7.08mm
Oct-07-2025,12950.00,,,,,,,,,,,,,,,3.18mm
Oct-08-2025,12845.00,,,,,,,,,,,,,,,3.77mm
Oct-09-2025,12665.00,,,,,,,,,,,,,,,4.38mm
Oct-10-2025,12385.00,,,,,,,,,,,,,,,4.09mm
Oct-14-2025,12400.00,,,,,,,,,,,,,,,4.70mm
Oct-15-2025,12515.00,,,,,,,,,,,,,,,3.19mm
Oct-16-2025,12150.00,,,,,,,,,,,,,,,4.70mm
Oct-17-2025,12470.00,,,,,,,,,,,,,,,7.34mm
Oct-20-2025,12865.00,,,,,,,,,,,,,,,4.98mm
Oct-21-2025,13240.00,,,,,,,,,,,,,,,6.75mm
Oct-22-2025,13105.00,,,,,,,,,,,,,,,5.43mm
Oct-23-2025,13050.00,,,,,,,,,,,,,,,3.20mm
Oct-24-2025,12840.00,,,,,,,,,,,,,,,3.00mm
Oct-27-2025,13050.00,,,,,,,,,,,,,,,2.82mm
Oct-28-2025,13025.00,,,,,,,,,,,,,,,2.21mm
Oct-29-2025,12940.00,,,,,,,,,,,,,,,2.91mm
Oct-30-2025,12910.00,,,,,,,,,,,,,,,4.18mm
Oct-31-2025,13045.00,,,,,,,,,,,,,,,3.72mm
Nov-04-2025,12945.00,,,,12945,12945,,,,,12945,,,12945,,5.48mm
Nov-05-2025,13750.00,,,,,,,,,,,,,13750,,15.71mm
Nov-06-2025,14105.00,,,,,,,,,,,,,,,11.10mm
Nov-07-2025,13905.00,,,,,,,,,,,,,,,5.37mm
Nov-10-2025,13420.00,,,,,,,,,,,,,,,4.11mm
Nov-11-2025,13615.00,,,,,,,,,,,,,,,3.72mm
Nov-12-2025,13885.00,,,,,,,,,,,,,,,3.55mm
Nov-13-2025,13665.00,,,,,,,,,,,,,,,3.63mm
Nov-14-2025,13445.00,,,,,,,,,,,,,,,2.97mm
Nov-17-2025,13430.00,,,,,,,,,,,,,,,1.85mm
Nov-18-2025,13200.00,,,,,,,,,,,,,,,2.97mm
Nov-19-2025,13030.00,,,,,,,,,,,,,,,3.50mm
Nov-20-2025,13275.00,,,,,,,,,,,,,,,2.76mm
Nov-21-2025,13300.00,,,,,,,,,,,,,,,4.42mm
Nov-25-2025,13120.00,,,,,,,,,,,,,,,3.19mm
Nov-26-2025,13235.00,,,,,,,,,,,,,,,2.71mm
Nov-27-2025,13170.00,,,13170,,,,,,,,,,,,1.72mm
Nov-28-2025,13280.00,,,,,,,,,,,,,,,2.62mm
Dec-01-2025,13065.00,,,,,,,,,,,,,,,2.52mm
Dec-02-2025,12865.00,,,,,,,,,,,,,,,2.59mm
Dec-03-2025,12655.00,,,,,,,,,,,,,,,3.00mm
Dec-04-2025,12875.00,,,,,,,,,,,,,,,2.56mm
Dec-05-2025,12500.00,,,,,,,,,,,,,,,3.77mm
Dec-08-2025,12320.00,,,,,,,,,,,,,,,2.75mm
Dec-09-2025,11900.00,,,,,,,,,,,,,,,5.77mm
Dec-10-2025,11580.00,,,,,,,,,,,,,,,8.60mm
Dec-11-2025,11400.00,,,,,,,,,,,,,,,8.79mm
Dec-12-2025,11730.00,,,,,,,,,,,,,,,7.51mm
Dec-15-2025,11495.00,,,,,,,,,,,,,,,5.29mm
Dec-16-2025,11350.00,,,,,,,,,,,,,,,4.09mm
Dec-17-2025,11180.00,,,,,,,,,,,,,,,4.67mm
Dec-18-2025,10985.00,,,,,,,,,,,,,,,5.35mm
Dec-19-2025,10650.00,,,,,,,,,,,,,,,7.11mm
Dec-22-2025,10245.00,,,,,,,,,,,,,,,10.23mm
Dec-23-2025,10515.00,,,,,,,,,,,,,,,10.39mm
Dec-24-2025,10435.00,,,,,,,,,,,,,,,5.65mm
Dec-25-2025,10550.00,,,,,,,,,,,,,,,3.39mm
Dec-26-2025,10795.00,,,,,,,,,,,,,,,6.62mm
Dec-29-2025,10740.00,,,,,,,,,,,,,,,4.36mm
Dec-30-2025,10595.00,,,,,,,,,,,,,,,3.62mm
Jan-05-2026,10650.00,,,,,,,,,,,,,,,6.95mm
Jan-06-2026,10855.00,,,,,,,,,,,,,,,6.14mm
Jan-07-2026,10350.00,,,,,,,,,,,,,,,8.14mm
Jan-08-2026,10180.00,,,,,,,,,,,,,,,5.60mm
Jan-09-2026,10165.00,,,,,,,,,,,,,,,7.16mm
Jan-13-2026,9950.00,,,,,,,,,,,,,,,15.67mm
Jan-14-2026,10220.00,,,,,,,,,,,,,,,8.04mm
Jan-15-2026,10450.00,,,,,,,,,,,,,,,9.13mm
Jan-16-2026,10520.00,,,,,,,,,,,,,,,5.99mm
Jan-19-2026,10585.00,,,,,,,,,,,,,,,4.17mm
Jan-20-2026,10445.00,,,,,,,,,,,,,,,3.81mm
Jan-21-2026,10180.00,,,,,,,,,,,,,,,5.93mm
Jan-22-2026,9950.00,,,,,,,,,,,,,,,10.84mm
Jan-23-2026,10400.00,,,,,,,,,,,,,,,11.17mm
Jan-26-2026,10415.00,,,,,,,,,,,,,,,6.45mm
Jan-27-2026,10375.00,,,,,,,,,,,,,,,4.94mm
Jan-28-2026,10165.00,,,,,,,,,,,,,,,4.54mm
Jan-29-2026,9931.00,,,,,,,,,,,,,,,7.70mm
Jan-30-2026,10055.00,,,,,,,,,,,,,,,6.59mm
Feb-02-2026,9899.00,,,,,,,,,,,,,,,10.49mm
Feb-03-2026,10080.00,,,,,,,,,,,,,10080,,9.98mm
Feb-04-2026,8973.00,,,,,,,,,,,,,,,33.99mm
Feb-05-2026,8782.00,,,,,,,,,,,,,,,20.69mm
Feb-06-2026,8441.00,,,,,,,,,,,,,,,21.43mm
Feb-09-2026,8662.00,,,,,,,,,,,,,,,13.83mm
Feb-10-2026,8930.00,,,,,,,,,,,,,8930,,13.77mm
Feb-12-2026,8640.00,,,,,,,,,,,,,,,17.10mm
Feb-13-2026,8350.00,,,,,,,,,,,,,,,13.51mm
Feb-16-2026,8449.00,,,,,,,,,,,,,,,11.13mm
Feb-17-2026,8409.00,,,,,,,,,,,,,,,6.97mm
Feb-18-2026,8636.00,,,,,,,,,,,,,,,6.99mm
Feb-19-2026,8618.00,,,,,,,,,,,,,,,7.41mm
Feb-20-2026,8587.00,,,,,,,,,,,,,,,6.39mm
Feb-24-2026,8541.00,,,,,,,,,,,,,,,8.33mm
Feb-25-2026,8514.00,,,,,,,,,,,,,,,6.80mm
Feb-26-2026,8737.00,,,,,,,,,,,,,,,10.33mm
Feb-27-2026,8995.00,,,8995,,8995,,,,,,,,,,20.12mm
Mar-02-2026,8742.00,,,,,,,,,,,,,,,11.65mm
Mar-03-2026,8588.00,,,8588,,,,,,,,8588,,,,8.10mm
Mar-04-2026,8702.00,,,,,,,,,,,,,,,11.32mm
Mar-05-2026,8577.00,,,,,,,,,,,,,,,10.37mm
Mar-06-2026,8680.00,,,,,,,,,,,,,,,7.39mm
Mar-09-2026,8606.00,,,,,,,,,,,,,,,13.03mm
Mar-10-2026,9120.00,,,,,,,,,,,,,,,18.40mm
Mar-11-2026,9932.00,,,,,,,,,,,,,,,32.51mm
Mar-12-2026,10150.00,,,,,,,,,,,,,,,18.85mm
Mar-13-2026,10220.00,,,,,,,,,,,,,,,15.87mm
Mar-16-2026,10100.00,,,,,,,,,,,,,,,16.86mm
Mar-17-2026,9820.00,,,,,,,,,,,,,,,10.82mm
Mar-18-2026,9859.00,,,,,,,,,,,,,,,10.92mm
Mar-19-2026,9734.00,,,,,,,,,,,,,,,10.75mm
Mar-23-2026,9432.00,,,,,,,,,,,,,,,9.61mm
Mar-24-2026,8984.00,,,,,,,,,,,,,,,15.12mm
Mar-25-2026,8980.00,,,,,,,,,,,,,,,11.37mm
Mar-26-2026,8990.00,,,,,,,,,,,,,,,7.08mm
Mar-27-2026,9215.00,,,,,,,,,,,,,,,9.07mm
Mar-30-2026,8899.00,,,,,,,,,,8899,,,,,8.18mm
Mar-31-2026,8775.00,,,,,,,,,,,,,,,7.84mm
Apr-01-2026,9005.00,,,,,,,,,,,,,,,7.54mm
Apr-02-2026,8762.00,,,,,,,,,,,,,,,9.01mm
Apr-03-2026,8736.00,,,,,,,,,,,,,,,5.52mm
Apr-06-2026,8849.00,,,,,,,,,,,,,,,4.55mm
Apr-07-2026,8844.00,,,,,,,,,,,,,,,6.33mm
Apr-08-2026,8707.00,,,,,,,,,,,,,,,11.79mm
Apr-09-2026,8531.00,,,,,,,,,,,,,,,8.55mm
Apr-10-2026,8300.00,,,,,,,,,,,,,,,12.82mm
Apr-13-2026,8297.00,,,,,,,,,,,,,,,9.00mm
Apr-14-2026,8199.00,,,,,,,,,,,,,,,10.06mm
Apr-15-2026,8189.00,,,,,,,,,,,,,,,10.37mm
Apr-16-2026,8324.00,,,,,,,,,,,,,,,9.17mm
Apr-17-2026,8615.00,,,,,,,,,,,,,,,10.72mm
